Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Embassy Kathmandu,O3,2017-12-01 01:00 AM,2017,12,01,01,3.0,3,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-01 02:00 AM,2017,12,01,02,2.0,2,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-01 03:00 AM,2017,12,01,03,2.0,2,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-01 04:00 AM,2017,12,01,04,3.0,3,Good,3.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-01 05:00 AM,2017,12,01,05,1.0,1,Good,1.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-01 06:00 AM,2017,12,01,06,0.0,0,Good,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-01 07:00 AM,2017,12,01,07,0.0,0,Good,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-01 08:00 AM,2017,12,01,08,5.0,5,Good,4.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-01 09:00 AM,2017,12,01,09,10.0,9,Good,10.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-01 10:00 AM,2017,12,01,10,26.0,24,Good,26.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-01 11:00 AM,2017,12,01,11,46.0,43,Good,46.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-01 12:00 PM,2017,12,01,12,51.0,47,Good,51.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-01 01:00 PM,2017,12,01,13,45.0,42,Good,45.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-01 02:00 PM,2017,12,01,14,49.0,45,Good,49.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-01 03:00 PM,2017,12,01,15,51.0,47,Good,51.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-01 04:00 PM,2017,12,01,16,41.0,38,Good,39.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-01 05:00 PM,2017,12,01,17,38.0,35,Good,31.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-01 06:00 PM,2017,12,01,18,29.0,27,Good,22.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-01 07:00 PM,2017,12,01,19,16.0,15,Good,13.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-01 08:00 PM,2017,12,01,20,7.0,6,Good,6.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-01 09:00 PM,2017,12,01,21,1.0,1,Good,1.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-01 10:00 PM,2017,12,01,22,4.0,4,Good,4.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-01 11:00 PM,2017,12,01,23,0.0,0,Good,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-02 12:00 AM,2017,12,02,00,0.0,0,Good,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-02 01:00 AM,2017,12,02,01,0.0,0,Good,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-02 02:00 AM,2017,12,02,02,0.0,0,Good,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-02 03:00 AM,2017,12,02,03,1.0,1,Good,1.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-02 04:00 AM,2017,12,02,04,-1.0,-999,N/A,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-02 05:00 AM,2017,12,02,05,0.0,0,Good,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-02 06:00 AM,2017,12,02,06,-1.0,-999,N/A,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2017-12-02 07:00 AM,2017,12,02,07,-1.0,-999,N/A,-999.0,PPB,1 Hr,Missing
Embassy Kathmandu,O3,2017-12-02 08:00 AM,2017,12,02,08,0.0,0,Good,0.0,PPB,1 Hr,Valid
