Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Embassy Kathmandu,O3,2018-01-01 01:00 AM,2018,01,01,01,0.0,0,Good,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-01 02:00 AM,2018,01,01,02,0.0,0,Good,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-01 03:00 AM,2018,01,01,03,3.0,3,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-01 04:00 AM,2018,01,01,04,1.0,1,Good,1.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-01 05:00 AM,2018,01,01,05,0.0,0,Good,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-01 06:00 AM,2018,01,01,06,0.0,0,Good,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-01 07:00 AM,2018,01,01,07,0.0,0,Good,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-01 08:00 AM,2018,01,01,08,0.0,0,Good,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-01 09:00 AM,2018,01,01,09,5.0,5,Good,5.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-01 10:00 AM,2018,01,01,10,14.0,13,Good,14.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-01 11:00 AM,2018,01,01,11,30.0,28,Good,30.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-01 12:00 PM,2018,01,01,12,37.0,34,Good,37.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-01 01:00 PM,2018,01,01,13,42.0,39,Good,42.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-01 02:00 PM,2018,01,01,14,44.0,41,Good,44.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-01 03:00 PM,2018,01,01,15,55.0,51,Moderate,55.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-01 04:00 PM,2018,01,01,16,49.0,45,Good,49.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-01 05:00 PM,2018,01,01,17,35.0,32,Good,30.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-01 06:00 PM,2018,01,01,18,27.0,25,Good,20.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-01 07:00 PM,2018,01,01,19,6.0,6,Good,4.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-01 08:00 PM,2018,01,01,20,10.0,9,Good,11.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-01 09:00 PM,2018,01,01,21,14.0,13,Good,15.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-01 10:00 PM,2018,01,01,22,9.0,8,Good,9.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-01 11:00 PM,2018,01,01,23,1.0,1,Good,1.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-02 12:00 AM,2018,01,02,00,7.0,6,Good,7.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-02 01:00 AM,2018,01,02,01,1.0,1,Good,1.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-02 02:00 AM,2018,01,02,02,0.0,0,Good,0.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-02 03:00 AM,2018,01,02,03,2.0,2,Good,2.0,PPB,1 Hr,Valid
Embassy Kathmandu,O3,2018-01-02 04:00 AM,2018,01,02,04,2.0,2,Good,2.0,PPB,1 Hr,Valid
