Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 01:00 AM,2017,12,01,01,94.7,171,Unhealthy,93.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 02:00 AM,2017,12,01,02,91.8,170,Unhealthy,89.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 03:00 AM,2017,12,01,03,82.4,165,Unhealthy,73.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 04:00 AM,2017,12,01,04,84.7,166,Unhealthy,87.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 05:00 AM,2017,12,01,05,83.8,166,Unhealthy,83.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 06:00 AM,2017,12,01,06,89.4,169,Unhealthy,95.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 07:00 AM,2017,12,01,07,97.2,173,Unhealthy,105.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 08:00 AM,2017,12,01,08,116.1,182,Unhealthy,135.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 09:00 AM,2017,12,01,09,141.5,195,Unhealthy,167.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 10:00 AM,2017,12,01,10,141.2,195,Unhealthy,141.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 11:00 AM,2017,12,01,11,121.6,185,Unhealthy,102.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 12:00 PM,2017,12,01,12,121.6,185,Unhealthy,985.0,UG/M3,1 Hr,Invalid
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 01:00 PM,2017,12,01,13,61.8,154,Unhealthy,32.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 02:00 PM,2017,12,01,14,52.7,143,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 03:00 PM,2017,12,01,15,74.2,161,Unhealthy,93.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 04:00 PM,2017,12,01,16,66.8,157,Unhealthy,60.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 05:00 PM,2017,12,01,17,65.9,156,Unhealthy,65.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 06:00 PM,2017,12,01,18,73.5,160,Unhealthy,81.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 07:00 PM,2017,12,01,19,87.8,168,Unhealthy,102.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 08:00 PM,2017,12,01,20,116.9,183,Unhealthy,146.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 09:00 PM,2017,12,01,21,118.4,183,Unhealthy,120.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 10:00 PM,2017,12,01,22,124.2,186,Unhealthy,130.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2017-12-01 11:00 PM,2017,12,01,23,106.1,177,Unhealthy,88.0,UG/M3,1 Hr,Valid
